account_id,district_id,frequency,Account_type,new_date ,Card assign 
1573,63,Monthly issuance,Savings account,2021-12-29,Silver
3276,1,Monthly issuance,Salary account,2021-12-29,Silver
124,55,Monthly issuance,Salary account,2021-12-28,Silver
3958,59,Monthly issuance,NRI account,2021-12-28,Silver
777,30,Monthly issuance,Savings account,2021-12-28,Silver
3025,25,Monthly issuance,Salary account,2021-12-27,Silver
906,59,Monthly issuance,NRI account,2021-12-27,Silver
845,14,Monthly issuance,Savings account,2021-12-27,Silver
3048,74,weekly issuance,Salary account,2021-12-26,Diamond
1983,54,Monthly issuance,NRI account,2021-12-25,Silver
727,35,Monthly issuance,NRI account,2021-12-25,Silver
4332,74,Monthly issuance,NRI account,2021-12-23,Silver
564,5,Monthly issuance,NRI account,2021-12-23,Silver
3934,6,Monthly issuance,NRI account,2021-12-23,Silver
1318,56,Monthly issuance,Salary account,2021-12-22,Silver
889,43,Monthly issuance,NRI account,2021-12-22,Silver
3385,1,Monthly issuance,Salary account,2021-12-21,Silver
703,54,Monthly issuance,Savings account,2021-12-21,Silver
1177,27,Monthly issuance,Salary account,2021-12-20,Silver
246,65,Monthly issuance,Salary account,2021-12-20,Silver
1171,18,Monthly issuance,NRI account,2021-12-20,Silver
3187,59,Monthly issuance,Salary account,2021-12-20,Silver
2791,25,Monthly issuance,Savings account,2021-12-19,Silver
3169,19,Monthly issuance,Savings account,2021-12-19,Silver
2049,67,Monthly issuance,Savings account,2021-12-19,Silver
758,51,Monthly issuance,Salary account,2021-12-19,Silver
2440,19,Monthly issuance,NRI account,2021-12-18,Silver
1186,64,Monthly issuance,NRI account,2021-12-17,Silver
3911,32,Monthly issuance,Salary account,2021-12-16,Silver
3992,43,Monthly issuance,Savings account,2021-12-16,Silver
579,1,Monthly issuance,NRI account,2021-12-16,Silver
2892,64,Monthly issuance,Savings account,2021-12-16,Silver
3616,50,Monthly issuance,NRI account,2021-12-15,Silver
938,70,Monthly issuance,Savings account,2021-12-13,Silver
3501,36,Monthly issuance,Salary account,2021-12-13,Silver
2820,36,Monthly issuance,NRI account,2021-12-11,Silver
3033,69,Monthly issuance,NRI account,2021-12-10,Silver
3174,65,Monthly issuance,Savings account,2021-12-10,Silver
134,34,Monthly issuance,Salary account,2021-12-10,Silver
1229,46,Monthly issuance,Salary account,2021-12-10,Silver
3209,45,Monthly issuance,Salary account,2021-12-10,Silver
1072,65,Monthly issuance,NRI account,2021-12-09,Silver
